jobid	jobname	prog	num_segs	num_frames	maxvmem	cpu	exit_status
1	vit61.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	2000001	0	94.321064	0
2	vit5.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1960001	0	94.321064	0
3	vit37.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1950001	0	94.321064	0
4	vit60.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1950000	0	94.321064	0
5	vit59.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1950000	0	94.321064	0
6	vit58.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1950000	0	94.321064	0
7	vit57.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1950000	0	94.321064	0
8	vit56.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1950000	0	94.321064	0
9	vit55.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1950000	0	94.321064	0
10	vit54.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1950000	0	94.321064	0
11	vit53.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1950000	0	94.321064	0
12	vit52.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1950000	0	94.321064	0
13	vit51.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1950000	0	94.321064	0
14	vit50.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1950000	0	94.321064	0
15	vit49.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1950000	0	94.321064	0
16	vit26.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1950000	0	94.321064	0
17	vit25.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1950000	0	94.321064	0
18	vit24.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1950000	0	94.321064	0
19	vit27.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1920001	0	94.321064	0
20	vit41.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1920000	0	94.321064	0
21	vit42.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1890001	0	94.321064	0
22	vit4.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1890000	0	94.321064	0
23	vit3.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1890000	0	94.321064	0
24	vit2.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1890000	0	94.321064	0
25	vit77.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1870001	0	94.321064	0
26	vit101.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1860001	0	94.321064	0
27	vit90.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1860000	0	94.321064	0
28	vit89.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1860000	0	94.321064	0
29	vit88.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1860000	0	94.321064	0
30	vit87.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1860000	0	94.321064	0
31	vit86.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1860000	0	94.321064	0
32	vit85.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1860000	0	94.321064	0
33	vit84.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1860000	0	94.321064	0
34	vit83.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1860000	0	94.321064	0
35	vit82.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1860000	0	94.321064	0
36	vit81.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1860000	0	94.321064	0
37	vit16.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1860000	0	94.321064	0
38	vit15.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1860000	0	94.321064	0
39	vit14.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1860000	0	94.321064	0
40	vit13.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1860000	0	94.321064	0
41	vit12.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1860000	0	94.321064	0
42	vit11.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1860000	0	94.321064	0
43	vit10.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1860000	0	94.321064	0
44	vit9.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1860000	0	94.321064	0
45	vit8.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1860000	0	94.321064	0
46	vit7.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1860000	0	94.321064	0
47	vit6.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1860000	0	94.321064	0
48	vit100.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1830000	0	94.321064	0
49	vit99.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1830000	0	94.321064	0
50	vit98.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1830000	0	94.321064	0
51	vit97.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1830000	0	94.321064	0
52	vit96.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1830000	0	94.321064	0
53	vit95.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1830000	0	94.321064	0
54	vit94.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1830000	0	94.321064	0
55	vit93.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1830000	0	94.321064	0
56	vit109.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1810001	0	94.321064	0
57	vit76.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1770000	0	94.321064	0
58	vit75.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1770000	0	94.321064	0
59	vit74.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1770000	0	94.321064	0
60	vit73.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1770000	0	94.321064	0
61	vit72.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1770000	0	94.321064	0
62	vit71.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1770000	0	94.321064	0
63	vit36.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1770000	0	94.321064	0
64	vit35.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1770000	0	94.321064	0
65	vit34.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1770000	0	94.321064	0
66	vit33.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1770000	0	94.321064	0
67	vit32.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1770000	0	94.321064	0
68	vit31.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1770000	0	94.321064	0
69	vit30.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1770000	0	94.321064	0
70	vit107.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1720001	0	94.321064	0
71	vit106.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1680000	0	94.321064	0
72	vit105.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1680000	0	94.321064	0
73	vit104.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1680000	0	94.321064	0
74	vit103.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1680000	0	94.321064	0
75	vit102.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1680000	0	94.321064	0
76	vit66.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1650001	0	94.321064	0
77	vit65.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1620000	0	94.321064	0
78	vit64.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1620000	0	94.321064	0
79	vit63.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1620000	0	95.453737	0
80	vit80.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1600001	0	95.453737	0
81	vit79.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1590000	0	95.453737	0
82	vit78.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1590000	0	95.453737	0
83	vit0.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1320001	0	96.622523	0
84	vit23.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1250001	0	97.760581	0
85	vit20.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1110001	0	98.915294	0
86	vit17.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1080000	0	100.041001	0
87	vit18.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1060001	0	101.17481699999999	0
88	vit48.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1050001	0	102.333891	0
89	vit91.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1020000	0	103.446721	0
90	vit92.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	1010001	0	104.57954	0
91	vit62.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	880001	0	105.718265	0
92	vit43.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	770001	0	106.851045	0
93	vit44.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	680001	0	107.96900199999999	0
94	vit38.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	630001	0	109.108982	0
95	vit22.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	540001	0	110.258103	0
96	vit21.annotatedir.111cc6a6e28511ec9ead525400b68424	gmtkViterbi	3	510001	0	111.39915599999999	0
